,# x-Amplitude, x-Frequency, y-Amplitude, y-Frequency, z-Amplitude, z-Frequency, Growth-rate, Estimated-Failure-Time
7971,0.3998957924259769,0.28879058156387305,0.20260912516468751,0.28879058156387305,0.25991130179351574,0.28879058156387305,0.05,165.92619105905123
6272,0.2805727484984955,0.28879058156387305,0.017393929975712794,0.28879058156387305,0.036385645521276655,0.28879058156387305,0.05,2299.291207179903
6991,0.6612300791706317,0.28879058156387305,0.66097203087574,0.28879058156387305,0.39819664890603984,0.28879058156387305,0.05,32.6788686540999
7631,0.28633859118183846,0.28879058156387305,0.07679352056000559,0.28879058156387305,0.06925685525635711,0.28879058156387305,0.05,688.9062029161039
4319,0.2798586871976641,0.28879058156387305,0.01607069382447441,0.28879058156387305,0.032381352658590414,0.28879058156387305,0.02,6317.492673680248
2861,0.2730827801235369,0.28879058156387305,0.02896602147344367,0.28879058156387305,0.04190180903016002,0.28879058156387305,0.01,7774.393725162335
7530,0.2830101340941698,0.28879058156387305,0.03780899363908011,0.28879058156387305,0.04595274094110165,0.28879058156387305,0.05,1269.8861919453375
3545,0.2794718103852336,0.28879058156387305,0.10276339426079696,0.28879058156387305,0.07323357699853257,0.28879058156387305,0.02,1437.0221146859994
6700,0.29683210877531424,0.28879058156387305,0.08565834460226278,0.28879058156387305,0.08892953615081998,0.28879058156387305,0.05,561.7360257978763
2631,0.2795892329829602,0.28879058156387305,0.020835584944992543,0.28879058156387305,0.035224400633651676,0.28879058156387305,0.01,10293.791391023617
1456,0.2824294205637932,0.28879058156387305,0.05655725594475036,0.28879058156387305,0.05681967264953221,0.28879058156387305,0.01,4539.302968970576
8165,0.2810939800138024,0.28879058156387305,0.020880766269464345,0.28879058156387305,0.03583249921509801,0.28879058156387305,0.05,2042.3604958945448
2141,0.2811940625262205,0.28879058156387305,0.01878812390846941,0.28879058156387305,0.03645273103623377,0.28879058156387305,0.01,10892.105841858647
8649,0.27993298626635627,0.28879058156387305,0.01968967241982456,0.28879058156387305,0.03404498200910084,0.28879058156387305,0.05,2164.50662591173
5420,0.2809927543549833,0.28879058156387305,0.01597152466109607,0.28879058156387305,0.03494688541200776,0.28879058156387305,0.02,6185.839839689332
6548,0.27925942061101544,0.28879058156387305,0.08875141012964244,0.28879058156387305,0.06062250407233274,0.28879058156387305,0.05,697.3626304830415
4482,0.28000699705543075,0.28879058156387305,0.0449541989140058,0.28879058156387305,0.048243465878811,0.28879058156387305,0.02,2808.1141121704586
7054,0.7553284085747072,0.28879058156387305,0.4866717119373182,0.28879058156387305,0.30021602888586746,0.28879058156387305,0.05,70.79982283304403
8973,0.275235294248394,0.28879058156387305,0.027386741317652237,0.28879058156387305,0.0454102191142038,0.28879058156387305,0.05,1558.9938362766693
6259,0.2812444090110948,0.28879058156387305,0.01567744877204196,0.28879058156387305,0.03563643079771037,0.28879058156387305,0.05,2491.7176841191135
2994,0.278838140863118,0.28879058156387305,0.03995447409239671,0.28879058156387305,0.06301946366004713,0.28879058156387305,0.01,5325.5239413205445
5716,0.2808121678275356,0.28879058156387305,0.021383283190380284,0.28879058156387305,0.03606469742005332,0.28879058156387305,0.02,5014.541482852595
8478,0.2793415916042579,0.28879058156387305,0.01624024630355094,0.28879058156387305,0.03515146654124122,0.28879058156387305,0.05,2440.6646080102573
532,0.28452393642714846,0.28879058156387305,0.10361835358661128,0.28879058156387305,0.0692036877630087,0.28879058156387305,0.01,2974.12556893314
325,0.280022164837,0.28879058156387305,0.040183797729930894,0.28879058156387305,0.04713077975166547,0.28879058156387305,0.01,6054.449220558672
7814,0.32143621948996354,0.28879058156387305,0.22948086107560256,0.28879058156387305,0.11238863287717311,0.28879058156387305,0.05,291.1500481841871
2475,0.28067224729210405,0.28879058156387305,0.019183993327771983,0.28879058156387305,0.03509591429212238,0.28879058156387305,0.01,10886.818985477446
3030,0.279082528295843,0.28879058156387305,0.04237976875821765,0.28879058156387305,0.07053761549698145,0.28879058156387305,0.01,4888.2196759049075
6815,0.35624807536322217,0.28879058156387305,0.27001654467828445,0.28879058156387305,0.18182115168483565,0.28879058156387305,0.05,177.6948340481573
4275,0.28085705403283,0.28879058156387305,0.01261269202034205,0.28879058156387305,0.03368209019642339,0.28879058156387305,0.02,7428.220878562528
8336,0.2813400362550627,0.28879058156387305,0.01885477127944012,0.28879058156387305,0.03596173521953578,0.28879058156387305,0.05,2183.6406166755164
2746,0.2810584964024393,0.28879058156387305,0.01837785624059564,0.28879058156387305,0.036719847494236686,0.28879058156387305,0.01,11030.515485973694
3964,0.6271675157404121,0.28879058156387305,0.4992754782682602,0.28879058156387305,0.4075022983984262,0.28879058156387305,0.02,111.98133270715525
3891,0.7182774450029737,0.28879058156387305,0.41819298128973903,0.28879058156387305,0.31533649328931146,0.28879058156387305,0.02,189.37192655611847
5645,0.2799036662853848,0.28879058156387305,0.020655730439759327,0.28879058156387305,0.035109611219721594,0.28879058156387305,0.02,5182.646137045232
635,0.2741684708349959,0.28879058156387305,0.266679475025732,0.28879058156387305,0.11089865643911112,0.28879058156387305,0.01,1387.3886362409248
